0,0,16,0
1,1,2,0
2,2,1,0
3,3,1,0
4,4,1,0
4,3253,1,0
5,5,1,0
6,6,1,0
7,7,1,0
7,7118,1,0
7,10911,1,0
7,12839,1,0
7,12666,1,0
7,13074,1,0
7,12563,1,0
8,8,1,0
9,9,1,0
9,592,1,0
9,1856,1,0
9,1935,1,0
9,2397,1,0
9,2676,1,0
9,3947,1,0
9,5741,1,0
9,6187,1,0
9,6232,1,0
9,6234,1,0
9,6251,1,0
9,6320,1,0
9,6356,1,0
9,6680,1,0
9,6937,1,0
9,7543,1,0
9,7584,8,0
9,7590,1,0
9,7688,1,0
9,7714,1,0
9,8012,1,0
9,9060,1,0
9,9024,1,0
9,9139,1,0
9,9155,1,0
9,9189,1,0
9,9501,1,0
9,9587,1,0
9,9686,1,0
9,9706,1,0
9,9774,1,0
9,9961,1,0
9,10031,1,0
9,10029,1,0
9,10120,1,0
9,10295,1,0
9,10443,1,0
9,9797,1,0
9,10702,1,0
9,10893,1,0
9,11047,1,0
9,11121,1,0
9,11149,1,0
9,11245,1,0
9,11068,1,0
9,11722,1,0
9,12232,1,0
9,12237,1,0
9,12241,1,0
9,12328,1,0
9,12432,1,0
9,12595,1,0
9,12676,1,0
9,12688,1,0
9,12530,1,0
9,12871,1,0
9,12936,1,0
9,12940,1,0
9,12943,1,0
9,13414,1,0
9,13451,1,0
9,13521,1,0
9,13567,1,0
9,14220,1,0
9,14482,1,0
9,14484,1,0
9,14977,1,0
10,10,1,0
11,11,1,0
12,12,1,0
13,13,1,0
14,14,1,0
15,15,1,0
16,16,1,0
17,17,1,0
18,18,1,0
19,19,30,0
20,20,1,0
21,21,1,0
22,22,1,0
23,18,1,0
24,23,1,0
24,1739,1,0
24,7622,3,0
24,6874,1,0
24,1894,1,0
24,14090,1,0
24,7599,1,0
25,24,1,0
26,25,1,0
27,26,1,0
28,27,1,0
28,7217,1,0
28,8189,1,0
28,8564,1,0
28,8420,1,0
29,28,1,0
29,59,1,0
30,29,4,0
30,16472,1,0
31,30,1,0
32,31,1,0
33,32,1,0
34,33,1,0
35,34,1,0
36,35,1,0
37,25,1,0
38,36,1,0
39,37,1,0
40,38,1,0
41,39,1,0
41,8848,1,0
42,16,1,0
43,27,1,0
43,6510,1,0
44,40,1,0
45,41,1,0
46,42,1,0
47,43,1,0
48,44,1,0
48,617,1,0
49,45,1,0
49,9773,1,0
50,46,2,0
51,47,1,0
52,48,1,0
53,49,1,0
54,50,1,0
54,5958,1,0
54,6545,1,0
54,9823,1,0
54,12563,1,0
55,47,1,0
56,47,1,0
57,51,1,0
58,52,1,0
59,46,4,0
60,53,1,0
61,54,1,0
62,55,1,0
63,56,1,0
64,57,1,0
64,77,1,0
64,641,1,0
65,58,1,0
66,59,1,0
67,59,1,0
68,60,1,0
69,61,1,0
70,62,2,0
71,63,1,0
72,46,3,0
73,64,1,0
73,1402,1,0
74,43,1,0
75,43,2,0
76,65,1,0
77,66,1,0
78,43,1,0
79,47,1,0
80,47,1,0
81,67,2,0
82,47,1,0
83,47,1,0
84,68,1,0
85,69,2,0
86,70,1,0
87,71,1,0
88,72,1,0
89,73,1,0
90,74,1,0
91,75,1,0
92,76,1,0
93,46,1,0
94,46,5,0
94,683,6,0
95,59,1,0
96,59,1,0
97,59,1,0
98,59,1,0
99,59,1,0
100,59,1,0
101,59,1,0
102,59,1,0
103,59,1,0
104,59,1,0
105,59,1,0
106,59,1,0
107,59,1,0
108,59,1,0
109,59,1,0
110,78,1,0
111,79,1,0
112,80,1,0
112,5506,1,0
112,5842,1,0
112,5866,1,0
112,7472,1,0
112,10730,1,0
112,11068,1,0
112,12406,1,0
112,13505,1,0
112,14135,1,0
112,14430,1,0
112,15042,1,0
112,15144,1,0
112,15712,1,0
113,81,1,0
114,82,1,0
115,80,1,0
115,6904,1,0
115,8011,1,0
115,7764,1,0
115,8951,1,0
115,9711,1,0
115,12444,1,0
116,83,1,0
116,1628,1,0
116,3302,1,0
116,13505,1,0
117,46,4,0
118,84,1,0
119,85,2,0
120,43,1,0
121,43,1,0
122,43,1,0
123,43,2,0
123,48,1,0
123,1742,1,0
123,2039,1,0
123,2216,1,0
123,5447,3,0
123,6582,1,0
123,7168,1,0
123,7167,2,0
